run_id,condition_id,condition_name,model,model_label,hhi,sector_hhi,portfolio_beta,portfolio_vol,return_12m,breadth,sector_Consumer Goods,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology
openai_control_029_20260427T233218724353,0,control,gpt-4o,openai,0.057341089830629674,0.19814305488725667,0.9181818412,30.926162412,10.5466667739,20,16.161616999999996,9.59596,13.636364,17.171717,11.616162999999998,31.818181999999993
openai_combined_008_20260427T233223195865,3,combined,gpt-4o,openai,0.055864197024691496,0.1916049368395063,0.9499999989,31.363610929700002,13.2375553659,20,16.666666000000003,6.111111,17.222222000000002,15.555555000000002,16.111111,28.333334
openai_combined_026_20260427T233232140265,3,combined,gpt-4o,openai,0.05302581155457089,0.18573078505102847,0.8883240278000001,30.550503143,11.819832274599996,20,16.201118,7.262569999999998,16.759776,18.994414,14.52514,26.256983
openai_control_024_20260427T233236748871,0,control,gpt-4o,openai,0.0583767324305557,0.20480684475694472,0.9326041338000002,31.345884357700005,11.1270306335,20,15.625,7.8125,13.541666,18.749999,11.458333,32.812499
openai_technical_019_20260427T233241904599,2,technical,gpt-4o,openai,0.05617283682716069,0.17882714972839533,0.8544999709,29.779610196600004,13.059388499699999,20,16.666666,7.222222,20.0,17.222222000000002,17.777777,21.11111
openai_technical_025_20260427T233246473074,2,technical,gpt-4o,openai,0.05924991253563869,0.18628688396037507,0.8833678856999998,30.074767214299992,13.8166321899,20,16.580309999999997,6.735751,19.689118999999998,16.062177,15.025908,25.906735999999995
openai_control_021_20260427T233251183729,0,control,gpt-4o,openai,0.0569661437500002,0.20290797680555578,0.9179166528,31.1632285309,10.6367703281,20,14.583333000000001,8.333334,12.5,19.791666,12.499999,32.291666
openai_fundamental_010_20260427T233255362853,1,fundamental,gpt-4o,openai,0.06071751714350399,0.20784290869624278,0.9552127552000002,31.201807999000003,11.6884577815,20,17.021276,6.914892999999999,17.021277,16.489361,9.574468,32.978723
openai_combined_029_20260427T233300972641,3,combined,gpt-4o,openai,0.059300000000000005,0.19985,0.9602500000000002,31.79075,13.967699999999999,20,17.5,6.5,16.0,17.0,12.0,31.0
openai_control_018_20260427T233305267346,0,control,gpt-4o,openai,0.058201055238095406,0.2051734162022342,0.933439138,31.275819500399994,11.202275179599999,20,15.343914999999999,7.936508000000001,13.756614,17.460317,12.169312,33.333332
openai_combined_001_20260427T233309413094,3,combined,gpt-4o,openai,0.0575373224547498,0.19599682749504577,0.9586781427000002,31.538907857999998,13.390804146099999,20,16.091954,6.321839,18.390804,14.942529999999998,14.367816,29.885057
openai_fundamental_015_20260427T233315103216,1,fundamental,gpt-4o,openai,0.05422116584700771,0.18588188804676992,0.9202298892000002,30.774046219899997,11.9960804115,20,16.436781,8.16092,17.816092,16.206897,14.137932000000001,27.241379
openai_combined_028_20260427T233319947484,3,combined,gpt-4o,openai,0.0535310092168403,0.1837369829176099,0.9153191428999999,31.2247868848,12.7312765879,20,16.489362000000003,7.978722999999999,15.425532,18.617021,15.425530999999998,26.06383
openai_control_026_20260427T233328643850,0,control,gpt-4o,openai,0.0559895839583335,0.19900173743055571,0.9097916824000001,30.970208688499994,11.0578125825,20,14.583334,8.333334,13.541667000000002,19.791666,12.5,31.25
openai_control_007_20260427T233332943070,0,control,gpt-4o,openai,0.0553193732840899,0.1932723925730687,0.8926288512000002,30.4119064326,10.547422733900001,20,14.948453,8.247422,14.948453,18.5567,13.402060999999998,29.896908
openai_fundamental_027_20260427T233337345357,1,fundamental,gpt-4o,openai,0.05560657328231828,0.1888072746270793,0.9128788143,30.690051359199998,11.291364005,20,15.656566999999999,9.090909,17.171717,18.181818,11.616162999999998,28.282829
openai_technical_015_20260427T233351578112,2,technical,gpt-4o,openai,0.054099744581572386,0.17757516418307,0.8472527326999999,29.770493829,12.509890021899999,20,15.934065,7.692307999999999,18.681319,18.131867,18.681319,20.87912
openai_combined_007_20260427T233401506525,3,combined,gpt-4o,openai,0.0564307873760332,0.18698347642561997,0.9217613755999999,31.015511839400006,12.996761335099999,20,17.045454999999997,8.522727999999999,17.613636999999997,17.613637,11.931818,27.272726999999996
