run_id,condition_id,condition_name,hhi,sector_hhi,portfolio_beta,portfolio_vol,breadth
technical_025_20260416T010456072897,2,technical,0.09661737296593512,0.1826335917284263,0.7739761758000002,27.093591664600005,20
fundamental_013_20260416T010513790161,1,fundamental,0.1006740093167572,0.3563260335155505,1.0619102298,30.406358303299996,20
combined_014_20260416T010531089847,3,combined,0.05853520773211451,0.18295787044490552,0.8546116813999999,28.517476175299997,20
control_020_20260416T010535908099,0,control,0.0593079148524657,0.20654839199392272,0.9116832074000001,29.8004962906,20
control_000_20260416T010540719860,0,control,0.0603697944367715,0.2105640977881737,0.9256219021000001,29.950497655800003,20
combined_025_20260416T010545506399,3,combined,0.05824217741200799,0.18335167530109397,0.8620379034,28.563317543900002,20
combined_015_20260416T010550553000,3,combined,0.0582470405029588,0.18292344469674576,0.8484615383000002,28.479375245000004,20
fundamental_027_20260416T010555464126,1,fundamental,0.10070924,0.35555306000000003,1.040086,30.416608,20
combined_023_20260416T010628026498,3,combined,0.0579387696796015,0.18080278179601292,0.8462735963,28.407736166299998,20
fundamental_023_20260416T010633184077,1,fundamental,0.0929752062066117,0.33785124033057873,1.0499545367999998,30.375499595300003,20
combined_017_20260416T010643665802,3,combined,0.05796967361686411,0.1778846111538463,0.8381249956000001,28.3025960447,20
technical_029_20260416T010648439818,2,technical,0.08622800181245249,0.17868394784919692,0.8231336784000001,27.897099011099996,20
technical_023_20260416T010707249083,2,technical,0.074286138723974,0.1715496664544916,0.7566463283999999,27.3715849633,20
combined_001_20260416T010723701645,3,combined,0.0587493024907182,0.17750976690334658,0.8345812796000001,28.266748857899994,20
control_025_20260416T010728446660,0,control,0.06138733687432149,0.2145652834054697,0.9281406884000001,29.986984726,20
technical_011_20260416T010735129216,2,technical,0.06265480064046379,0.1697750448134316,0.7749774040000001,27.875324227,20
combined_012_20260416T010751945465,3,combined,0.05853520773211451,0.18295787044490552,0.8546116813999999,28.517476175299997,20
technical_017_20260416T010756811764,2,technical,0.07654325970495711,0.1689280399628899,0.7876512652,27.381229409400003,20
